in,'IH N', s, IH
that,'DH AE T', s, AE
them,'DH EH M', s, 
all,'AA L', s, AA
i,'AY', s, AY
am,'AE M', s, AE
o,'OW', s, 
this,'DH IH S', s, IH
soul,'S OW L', s, 
of,'AH V', s, 
egypt,'IY JH AH P T', s, IY
this,'DH IH S', s, IH
forth,'F AO R TH', s, AO
my,'M AY', s, AY
wars,'W AO R Z', s, AO
and,'AH N D', s, 
them,'DH EH M', s, 
hme,'OW M', s, 
bosom,'B UH Z AH M', s, UH
was,'W AA Z', s, AA
my,'M AY', s, AY
my,'M AY', s, AY
chief,'CH IY F', s, IY
end,'EH N D', s, 
a,'AH', s, 
gypsy,'JH IH P S IY', s, IH IY
hath,'HH AE TH', s, AE
at,'AE T', s, AE
fast,'F AW S T', s, 
and,'AH N D', s, 
me,'M IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
very,'V EH R IY', s, IY
heart,'HH AA R T', s, AA
of,'AH V', s, 
loss,'L AO S', s, AO
what,'W AH T', s, 
eros,'IY r ɒ S', s, IY
eros,'IY r ɒ S', s, IY
thou,'DH AW', s, 
spell,'S P EH L', s, 
avaunt,'ǝ V AO N T', s, AO
vanish,'V AE N IH SH', s, AE IH
or,'AO R', s, AO
i,'AY', s, AY
shall,'SH AE L', s, AE
thee,'DH IY', s, IY
and,'AH N D', s, 
blemish,'B L EH M IH SH', s, IH
let,'L EH T', s, 
him,'HH IH M', s, IH
thee,'DH IY', s, IY
and,'AH N D', s, 
hoist,'ǝ IH S T', s, IH
thee,'DH IY', s, IY
up,'AH P', s, 
to,'T UW', s, UW
the,'DH AH', s, 
shouting,'SH ǝ UH T IH N', s, UH IH
his,'HH IH Z', s, IH
the,'DH AH', s, 
greatest,'G r e T ǝ S T', s, 
spot,'S P AA T', s, AA
of,'AH V', s, 
all,'AA L', s, AA
most,'M OW S T', s, 
be,'B IY', s, IY
for,'F AO R', s, AO
for,'F AO R', s, AO
dolts,'D OW L T S', s, 
and,'AH N D', s, 
let,'L EH T', s, 
up,'AH P', s, 
with,'W IH DH', s, IH
nails,'N EY L Z', s, EY
well,'W EH L', s, 
art,'AA R T', s, AA
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
well,'W EH L', s, 
to,'T UW', s, UW
but,'B AH T', s, 
better,'B e T ə R', s, 
thou,'DH AW', s, 
into,'IH N T UW', s, IH UW
my,'M AY', s, AY
for,'F AO R', s, AO
death,'D EH TH', s, 
prevented,'P R IH V EH N T IH D', s, IH IH
ho,'HH OW', s, 
the,'DH AH', s, 
of,'AH V', s, 
is,'IH Z', s, IH
upon,'AH P AA N', s, AA
me,'M IY', s, IY
teach,'T IY CH', s, IY
me,'M IY', s, IY
thou,'DH AW', s, 
let,'L EH T', s, 
me,'M IY', s, IY
loge,'L AA JH', s, AA
on,'AA N', s, AA
the,'DH AH', s, 
horns,'HH AO R N Z', s, AO
moon,'M UW N', s, UW
and,'AH N D', s, 
with,'W IH DH', s, IH
that,'DH AE T', s, AE
the,'DH AH', s, 
club,'K L ɤ B', s, 
subdue,'S AH B D UW', s, UW
my,'M AY', s, AY
self,'S EH L F', s, 
the,'DH AH', s, 
shall,'SH AE L', s, AE
to,'T UW', s, UW
the,'DH AH', s, 
roman,'r OW M ǝ N', s, 
she,'SH IY', s, IY
hath,'HH AE TH', s, AE
sold,'S OW L D', s, 
me,'M IY', s, IY
and,'AH N D', s, 
i,'AY', s, AY
fall,'F AA L', s, AA
under,'ɤ N D ǝ R', s, 
this,'DH IH S', s, IH
plot,'P L AA T', s, AA
she,'SH IY', s, IY
for,'F AO R', s, AO
ho,'HH OW', s, 
eros,'IY r ɒ S', s, IY
thou,'DH AW', s, 
yet,'Y EH T', s, 
me,'M IY', s, IY
sometme,'S AH M T AY M', s, AY
we,'W IY', s, IY
see,'S IY', s, IY
a,'AH', s, 
a,'AH', s, 
sometme,'S AH M T AY M', s, AY
a,'AH', s, 
bear,'B EH R', s, 
or,'AO R', s, AO
a,'AH', s, 
citadel,'S IH T AH D EH L', s, IH
a,'AH', s, 
rock,'R AA K', s, AA
a,'AH', s, 
mountain,'M AW N T AH N', s, 
or,'AO R', s, AO
blue,'B L UW', s, UW
promontory,'P r ɒ M ǝ N T r ǝ IH', s, IH
with,'W IH DH', s, IH
trees,'T R IY Z', s, IY
upon,'AH P AA N', s, AA
that,'DH AE T', s, AE
nod,'N AA D', s, AA
unto,'AH N T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
mock,'M AA K', s, AA
our,'OW R', s, 
with,'W IH DH', s, IH
air,'EH R', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
seen,'S IY N', s, IY
signs,'S ǝ IH N Z', s, IH
black,'B L AE K', s, AE
pageants,'P AE JH AH N T S', s, AE
that,'DH AE T', s, AE
is,'IH Z', s, IH
a,'AH', s, 
even,'IY V IH N', s, IY IH
with,'W IH DH', s, IH
a,'AH', s, 
the,'DH AH', s, 
rack,'R AE K', s, AE
and,'AH N D', s, 
it,'IH T', s, IH
indistinct,'IH N D IH S T IH NG K T', s, IH IH IH
as,'AE Z', s, AE
water,'W AA T ǝ R', s, AA
is,'IH Z', s, IH
in,'IH N', s, IH
water,'W AA T ǝ R', s, AA
my,'M AY', s, AY
good,'G UH D', s, UH
knve,'N EY V', s, EY
eros,'IY r ɒ S', s, IY
captain,'K AE P T AH N', s, AE
is,'IH Z', s, IH
even,'IY V IH N', s, IY IH
a,'AH', s, 
body,'B AA D IY', s, AA IY
i,'AY', s, AY
am,'AE M', s, AE
antony,'AE N T AH N IY', s, AE IY
yet,'Y EH T', s, 
cannot,'K AE N AA T', s, AE AA
this,'DH IH S', s, IH
my,'M AY', s, AY
knve,'N EY V', s, EY
i,'AY', s, AY
wars,'W AO R Z', s, AO
for,'F AO R', s, AO
egypt,'IY JH AH P T', s, IY
and,'AH N D', s, 
the,'DH AH', s, 
heart,'HH AA R T', s, AA
i,'AY', s, AY
i,'AY', s, AY
had,'HH AE D', s, AE
for,'F AO R', s, AO
she,'SH IY', s, IY
had,'HH AE D', s, AE
it,'IH T', s, IH
was,'W AA Z', s, AA
had,'HH AE D', s, AE
annexed,'AE N EH K S T', s, AE
unto,'AH N T UW', s, UW
a,'AH', s, 
eros,'IY r ɒ S', s, IY
cards,'K AA R D Z', s, AA
with,'W IH DH', s, IH
and,'AH N D', s, 
my,'M AY', s, AY
unto,'AH N T UW', s, UW
an,'AE N', s, AE
weep,'W IY P', s, IY
not,'N AA T', s, AA
eros,'IY r ɒ S', s, IY
is,'IH Z', s, IH
left,'L EH F T', s, 
us,'AH S', s, 
to,'T UW', s, UW
end,'EH N D', s, 
o,'OW', s, 
lady,'L EY D IY', s, EY IY
she,'SH IY', s, IY
me,'M IY', s, IY
of,'AH V', s, 
my,'M AY', s, AY
she,'SH IY', s, IY
hath,'HH AE TH', s, AE
me,'M IY', s, IY
and,'AH N D', s, 
shall,'SH AE L', s, AE
the,'DH AH', s, 
death,'D EH TH', s, 
dead,'D EH D', s, 
then,'DH EH N', s, 
unarm,'AH N AA R M', s, AA
eros,'IY r ɒ S', s, IY
the,'DH AH', s, 
task,'T AW S K', s, 
is,'IH Z', s, IH
and,'AH N D', s, 
we,'W IY', s, IY
must,'M AH S T', s, 
thou,'DH AW', s, 
does,'D AH Z', s, 
go,'G OW', s, 
off,'AO F', s, AO
pluck,'P L ɤ K', s, 
off,'AO F', s, AO
the,'DH AH', s, 
shield,'SH IY L D', s, IY
of,'AH V', s, 
cannot,'K AE N AA T', s, AE AA
keep,'K IY P', s, IY
the,'DH AH', s, 
battery,'B AW T r ə IH', s, IH
from,'F R AH M', s, 
my,'M AY', s, AY
heart,'HH AA R T', s, AA
o,'OW', s, 
my,'M AY', s, AY
heart,'HH AA R T', s, AA
be,'B IY', s, IY
stronger,'S T r ɒ NG G ǝ R', s, 
than,'DH AE N', s, AE
crack,'K R AE K', s, AE
frail,'F r EH L', s, 
eros,'IY r ɒ S', s, IY
no,'N OW', s, 
a,'AH', s, 
pieces,'P IY S AH Z', s, IY
go,'G OW', s, 
you,'Y UW', s, UW
been,'B IH N', s, IH
nobly,'N AA B L IY', s, AA IY
me,'M IY', s, IY
i,'AY', s, AY
will,'W IH L', s, IH
thee,'DH IY', s, IY
and,'AH N D', s, 
weep,'W IY P', s, IY
for,'F AO R', s, AO
my,'M AY', s, AY
pardon,'P AA R D ǝ N', s, AA
so,'S OW', s, 
it,'IH T', s, IH
must,'M AH S T', s, 
be,'B IY', s, IY
for,'F AO R', s, AO
all,'AA L', s, AA
length,'L EH NG K TH', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
torch,'T AO R CH', s, AO
is,'IH Z', s, IH
out,'AW T', s, 
down,'D ǝ UH N', s, UH
and,'AH N D', s, 
no,'N OW', s, 
all,'AA L', s, AA
mars,'M AA R Z', s, AA
what,'W AH T', s, 
it,'IH T', s, IH
does,'D AH Z', s, 
yea,'Y EH', s, 
very,'V EH R IY', s, IY
itself,'IH T S EH L F', s, IH
with,'W IH DH', s, IH
strength,'S T R EH NG K TH', s, 
seal,'S IY L', s, IY
then,'DH EH N', s, 
and,'AH N D', s, 
all,'AA L', s, AA
is,'IH Z', s, IH
my,'M AY', s, AY
for,'F AO R', s, AO
me,'M IY', s, IY
souls,'S OW L Z', s, 
do,'D OW', s, 
on,'AA N', s, AA
in,'IH N', s, IH
and,'AH N D', s, 
with,'W IH DH', s, IH
our,'OW R', s, 
port,'P AO R T', s, AO
the,'DH AH', s, 
dido,'D AY D OW', s, AY
and,'AH N D', s, 
shall,'SH AE L', s, AE
want,'W AA N T', s, AA
troops,'T R UW P S', s, UW
and,'AH N D', s, 
all,'AA L', s, AA
the,'DH AH', s, 
be,'B IY', s, IY
eros,'IY r ɒ S', s, IY
eros,'IY r ɒ S', s, IY
died,'D AY D', s, AY
i,'AY', s, AY
in,'IH N', s, IH
that,'DH AE T', s, AE
the,'DH AH', s, 
gods,'G AA D Z', s, AA
detest,'D IH T EH S T', s, IH
my,'M AY', s, AY
i,'AY', s, AY
that,'DH AE T', s, AE
with,'W IH DH', s, IH
my,'M AY', s, AY
quartered,'K W AA R T ǝ R D', s, AA
the,'DH AH', s, 
and,'AH N D', s, 
green,'G R IY N', s, IY
back,'B AE K', s, AE
with,'W IH DH', s, IH
ships,'SH IH P S', s, IH
cities,'S IH T IY Z', s, IH IY
myself,'M AY S EH L F', s, AY
to,'T UW', s, UW
lack,'L AE K', s, AE
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
than,'DH AE N', s, AE
she,'SH IY', s, IY
by,'B AY', s, AY
death,'D EH TH', s, 
our,'OW R', s, 
i,'AY', s, AY
am,'AE M', s, AE
of,'AH V', s, 
myself,'M AY S EH L F', s, AY
thou,'DH AW', s, 
art,'AA R T', s, AA
sworn,'S W AO R N', s, AO
eros,'IY r ɒ S', s, IY
that,'DH AE T', s, AE
when,'ʍ e N', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
indeed,'IH N D IY D', s, IH IY
when,'ʍ e N', s, 
i,'AY', s, AY
see,'S IY', s, IY
behind,'B IH ə IH N D', s, IH IH
me,'M IY', s, IY
of,'AH V', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
on,'AA N', s, AA
my,'M AY', s, AY
command,'K ǝ M AW N D', s, 
thou,'DH AW', s, 
then,'DH EH N', s, 
kill,'K IH L', s, IH
me,'M IY', s, IY
do,'D OW', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
thou,'DH AW', s, 
not,'N AA T', s, AA
me,'M IY', s, IY
thou,'DH AW', s, 
put,'P UH T', s, UH
in,'IH N', s, IH
cheek,'CH IY K', s, IY
eros,'IY r ɒ S', s, IY
thou,'DH AW', s, 
be,'B IY', s, IY
in,'IH N', s, IH
great,'G r e T', s, 
and,'AH N D', s, 
see,'S IY', s, IY
master,'M AW S T ǝ R', s, 
thus,'DH ɤ S', s, 
with,'W IH DH', s, IH
arms,'AA R M Z', s, AA
down,'D ǝ UH N', s, UH
his,'HH IH Z', s, IH
neck,'N EH K', s, 
his,'HH IH Z', s, IH
subdued,'S AH B D UW D', s, UW
to,'T UW', s, UW
the,'DH AH', s, 
seat,'S IY T', s, IY
of,'AH V', s, 
him,'HH IH M', s, IH
branded,'B R AE N D IH D', s, AE IH
his,'HH IH Z', s, IH
that,'DH AE T', s, AE
ensued,'IH N S UW D', s, IH UW
then,'DH EH N', s, 
for,'F AO R', s, AO
with,'W IH DH', s, IH
a,'AH', s, 
i,'AY', s, AY
must,'M AH S T', s, 
be,'B IY', s, IY
cured,'K Y UW R D', s, UW
that,'DH AE T', s, AE
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
worn,'W AO R N', s, AO
most,'M OW S T', s, 
useful,'Y UW S F AH L', s, UW
for,'F AO R', s, AO
country,'K AH N T R IY', s, IY
when,'ʍ e N', s, 
i,'AY', s, AY
did,'D IH D', s, IH
thee,'DH IY', s, IY
free,'F R IY', s, IY
thou,'DH AW', s, 
not,'N AA T', s, AA
then,'DH EH N', s, 
to,'T UW', s, UW
do,'D OW', s, 
this,'DH IH S', s, IH
when,'ʍ e N', s, 
i,'AY', s, AY
thee,'DH IY', s, IY
do,'D OW', s, 
it,'IH T', s, IH
at,'AE T', s, AE
or,'AO R', s, AO
services,'S ɐ R V IH S IH Z', s, IH IH
all,'AA L', s, AA
but,'B AH T', s, 
and,'AH N D', s, 
lo,'L OW', s, 
thee,'DH IY', s, IY
then,'DH EH N', s, 
let,'L EH T', s, 
it,'IH T', s, IH
do,'D OW', s, 
at,'AE T', s, AE
the,'DH AH', s, 
whhy,'ʍ ǝ IH', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
it,'IH T', s, IH
said,'S EH D', s, 
man,'M AE N', s, AE
and,'AH N D', s, 
eros,'IY r ɒ S', s, IY
nobler,'N OW B L ǝ R', s, 
than,'DH AE N', s, AE
myself,'M AY S EH L F', s, AY
thou,'DH AW', s, 
me,'M IY', s, IY
o,'OW', s, 
eros,'IY r ɒ S', s, IY
what,'W AH T', s, 
i,'AY', s, AY
and,'AH N D', s, 
thou,'DH AW', s, 
not,'N AA T', s, AA
my,'M AY', s, AY
and,'AH N D', s, 
eros,'IY r ɒ S', s, IY
by,'B AY', s, AY
their,'DH EH R', s, 
instruction,'IH N S T R AH K SH AH N', s, IH
got,'G AA T', s, AA
upon,'AH P AA N', s, AA
me,'M IY', s, IY
a,'AH', s, 
in,'IH N', s, IH
record,'r IH K AO R D', s, IH AO
but,'B AH T', s, 
i,'AY', s, AY
will,'W IH L', s, IH
be,'B IY', s, IY
a,'AH', s, 
in,'IH N', s, IH
my,'M AY', s, AY
death,'D EH TH', s, 
and,'AH N D', s, 
run,'r ɤ N', s, 
into,'IH N T UW', s, IH UW
as,'AE Z', s, AE
to,'T UW', s, UW
a,'AH', s, 
bed,'B EH D', s, 
then,'DH EH N', s, 
and,'AH N D', s, 
eros,'IY r ɒ S', s, IY
master,'M AW S T ǝ R', s, 
to,'T UW', s, UW
do,'D OW', s, 
thus,'DH ɤ S', s, 
i,'AY', s, AY
of,'AH V', s, 
thee,'DH IY', s, IY
not,'N AA T', s, AA
dead,'D EH D', s, 
not,'N AA T', s, AA
dead,'D EH D', s, 
the,'DH AH', s, 
guard,'G AA R D', s, AA
ho,'HH OW', s, 
o,'OW', s, 
me,'M IY', s, IY
i,'AY', s, AY
my,'M AY', s, AY
work,'W AO R K', s, AO
ill,'IH L', s, IH
friends,'F R EH N D Z', s, 
o,'OW', s, 
an,'AE N', s, AE
end,'EH N D', s, 
of,'AH V', s, 
what,'W AH T', s, 
i,'AY', s, AY
begun,'B IH G AH N', s, IH
let,'L EH T', s, 
him,'HH IH M', s, IH
that,'DH AE T', s, AE
me,'M IY', s, IY
me,'M IY', s, IY
dead,'D EH D', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
and,'AH N D', s, 
me,'M IY', s, IY
for,'F AO R', s, AO
death,'D EH TH', s, 
when,'ʍ e N', s, 
did,'D IH D', s, IH
she,'SH IY', s, IY
send,'S EH N D', s, 
thee,'DH IY', s, IY
is,'IH Z', s, IH
she,'SH IY', s, IY
too,'T UW', s, UW
good,'G UH D', s, UH
call,'K AO L', s, AO
my,'M AY', s, AY
guard,'G AA R D', s, AA
i,'AY', s, AY
prithee,'P r e DH IY', s, IY
bear,'B EH R', s, 
me,'M IY', s, IY
good,'G UH D', s, UH
friends,'F R EH N D Z', s, 
the,'DH AH', s, 
last,'L AE S T', s, AE
that,'DH AE T', s, AE
i,'AY', s, AY
shall,'SH AE L', s, AE
command,'K ǝ M AW N D', s, 
you,'Y UW', s, UW
good,'G UH D', s, UH
my,'M AY', s, AY
do,'D OW', s, 
not,'N AA T', s, AA
sharp,'SH AA R P', s, AA
to,'T UW', s, UW
it,'IH T', s, IH
with,'W IH DH', s, IH
your,'Y AO R', s, AO
sorrows,'S ɒ r ǝ ǝ Z', s, 
bid,'B IH D', s, IH
that,'DH AE T', s, AE
to,'T UW', s, UW
punish,'P ɤ N IH SH', s, IH
us,'AH S', s, 
and,'AH N D', s, 
we,'W IY', s, IY
punish,'P ɤ N IH SH', s, IH
it,'IH T', s, IH
to,'T UW', s, UW
bear,'B EH R', s, 
it,'IH T', s, IH
lightly,'L ǝ IH T L ǝ IH', s, IH IH
me,'M IY', s, IY
up,'AH P', s, 
i,'AY', s, AY
led,'L EH D', s, 
you,'Y UW', s, UW
oft,'AO F T', s, AO
carrry,'K AW r ǝ IH', s, IH
me,'M IY', s, IY
good,'G UH D', s, UH
friends,'F R EH N D Z', s, 
and,'AH N D', s, 
my,'M AY', s, AY
thanks,'TH AE NG K S', s, AE
for,'F AO R', s, AO
all,'AA L', s, AA
not,'N AA T', s, AA
hath,'HH AE TH', s, AE
antony,'AE N T AH N IY', s, AE IY
but,'B AH T', s, 
hath,'HH AE TH', s, AE
on,'AA N', s, AA
itself,'IH T S EH L F', s, IH
i,'AY', s, AY
am,'AE M', s, AE
egypt,'IY JH AH P T', s, IY
only,'OW N L IY', s, IY
i,'AY', s, AY
death,'D EH TH', s, 
until,'AH N T IH L', s, IH
of,'AH V', s, 
kisses,'K IH S AH Z', s, IH
the,'DH AH', s, 
poor,'P UH R', s, UH
last,'L AE S T', s, AE
i,'AY', s, AY
upon,'AH P AA N', s, AA
lips,'L IH P S', s, IH
o,'OW', s, 
or,'AO R', s, AO
i,'AY', s, AY
am,'AE M', s, AE
i,'AY', s, AY
am,'AE M', s, AE
egypt,'IY JH AH P T', s, IY
me,'M IY', s, IY
and,'AH N D', s, 
let,'L EH T', s, 
me,'M IY', s, IY
speak,'S P IY K', s, IY
a,'AH', s, 
sweet,'S W IY T', s, IY
of,'AH V', s, 
seek,'S IY K', s, IY
your,'Y AO R', s, AO
with,'W IH DH', s, IH
your,'Y AO R', s, AO
me,'M IY', s, IY
trust,'T r ɤ S T', s, 
but,'B AH T', s, 
the,'DH AH', s, 
at,'AE T', s, AE
my,'M AY', s, AY
end,'EH N D', s, 
lament,'L ǝ M e N T', s, 
nor,'N AO R', s, AO
at,'AE T', s, AE
but,'B AH T', s, 
your,'Y AO R', s, AO
in,'IH N', s, IH
them,'DH EH M', s, 
with,'W IH DH', s, IH
my,'M AY', s, AY
wherein,'ʍ EH R IH N', s, IH
i,'AY', s, AY
the,'DH AH', s, 
greatest,'G r e T ǝ S T', s, 
the,'DH AH', s, 
noblest,'N OW B L IH S T', s, IH
and,'AH N D', s, 
do,'D OW', s, 
not,'N AA T', s, AA
not,'N AA T', s, AA
put,'P UH T', s, UH
off,'AO F', s, AO
my,'M AY', s, AY
to,'T UW', s, UW
my,'M AY', s, AY
roman,'r OW M ǝ N', s, 
by,'B AY', s, AY
a,'AH', s, 
roman,'r OW M ǝ N', s, 
vanquished,'V AW NG K W IH SH T', s, IH
my,'M AY', s, AY
spirit,'S P IH R AH T', s, IH
is,'IH Z', s, IH
going,'G OW IH N', s, IH
i,'AY', s, AY
can,'K AE N', s, AE
no,'N OW', s, 
